         849630 function calls (726458 primitive calls) in 3.189 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.189    3.189 /root/tts_test.py:47(run_model)
        1    0.000    0.000    3.189    3.189 /root/tts_test.py:30(run)
        1    0.000    0.000    3.189    3.189 /root/TTS/tts/models/xtts.py:382(synthesize)
      6/1    0.000    0.000    3.189    3.189 /usr/local/lib/python3.10/dist-packages/torch/utils/_contextlib.py:112(decorate_context)
        1    0.000    0.000    3.189    3.189 /root/TTS/tts/models/xtts.py:421(full_inference)
        1    0.000    0.000    2.932    2.932 /root/TTS/tts/models/xtts.py:502(inference)
59291/167    0.055    0.000    2.871    0.017 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:1514(_wrapped_call_impl)
59291/167    0.111    0.000    2.871    0.017 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:1520(_call_impl)
        1    0.000    0.000    2.784    2.784 /root/TTS/tts/layers/xtts/gpt.py:583(generate)
        1    0.001    0.001    2.765    2.765 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:1395(generate)
        1    0.021    0.021    2.758    2.758 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:2672(sample)
      146    0.004    0.000    2.590    0.018 /root/TTS/tts/layers/xtts/gpt_inference.py:55(forward)
      147    0.034    0.000    2.574    0.018 /usr/local/lib/python3.10/dist-packages/transformers/models/gpt2/modeling_gpt2.py:743(forward)
     4410    0.107    0.000    2.484    0.001 /usr/local/lib/python3.10/dist-packages/transformers/models/gpt2/modeling_gpt2.py:377(forward)
     4410    0.069    0.000    1.445    0.000 /usr/local/lib/python3.10/dist-packages/transformers/models/gpt2/modeling_gpt2.py:290(forward)
     4410    0.222    0.000    0.729    0.000 /usr/local/lib/python3.10/dist-packages/transformers/models/gpt2/modeling_gpt2.py:182(_attn)
